merged_cubic_angles_1,merged_cubic_angles_2,merged_cubic_angles_3,merged_cubic_angles_4,merged_cubic_angles_5,merged_cubic_angles_6,merged_cubic_angles_7,merged_cubic_angles_8,merged_cubic_angles_9,merged_cubic_angles_10,merged_cubic_angles_11,merged_cubic_angles_12,merged_cubic_angles_13,merged_cubic_angles_14
-2,3,31,-2,52,0,-1,0,0,-41,-3,-57,0,0
-2.01484306505831,2.99640168119799,31.0004497898503,-1.9991004202995,52.0013493695508,0.00224894925125894,-1.00404810865227,0,0,-41,-3,-57,0,0
-2.0588815803966,2.98572567747961,31.001784290315,-1.9964314193699,52.0053528709451,0.00892145157524192,-1.01605861283544,0,0,-41,-3,-57,0,0
-2.13137952625991,2.96815041787639,31.0039811977655,-1.9920376044691,52.0119435932964,0.0199059888272587,-1.03583077988907,0,0,-41,-3,-57,0,0
-2.23160088289328,2.94385433141981,31.0070182085725,-1.98596358285495,52.0210546257176,0.0350910428626185,-1.06316387715271,0,0,-41,-3,-57,0,0
-2.35880963054176,2.91301584714139,31.0108730191073,-1.97825396178535,52.032619057322,0.0543650955366307,-1.09785717196594,0,0,-41,-3,-57,0,0
-2.51226974945039,2.87581339407263,31.0155233257409,-1.96895334851816,52.0465699772228,0.0776166287046052,-1.13970993166829,0,0,-41,-3,-57,0,0
-2.69124521986422,2.83242540124504,31.0209468248444,-1.95810635031126,52.0628404745331,0.104734124221851,-1.18852142359933,0,0,-41,-3,-57,0,0
-2.89500002202828,2.78303029769011,31.0271212127887,-1.94575757442253,52.0813636383662,0.135606063943678,-1.24409091509862,0,0,-41,-3,-57,0,0
-3.12279813618761,2.72780651243937,31.0340241859451,-1.93195162810984,52.1020725578352,0.170120929725395,-1.30621767350571,0,0,-41,-3,-57,0,0
-3.37390354258727,2.6669324745243,31.0416334406845,-1.91673311863107,52.1249003220534,0.208167203422313,-1.37470096616016,0,0,-41,-3,-57,0,0
-3.64758022147228,2.60058661297642,31.0499266733779,-1.9001466532441,52.1497800201338,0.24963336688974,-1.44934006040153,0,0,-41,-3,-57,0,0
-3.9430921530877,2.52894735682722,31.0588815803966,-1.88223683920681,52.1766447411898,0.294407901982985,-1.52993422356937,0,0,-41,-3,-57,0,0
-4.25970331767857,2.45219313510822,31.0684758581115,-1.86304828377706,52.2054275743344,0.342379290557359,-1.61628272300325,0,0,-41,-3,-57,0,0
-4.59667769548993,2.37050237685093,31.0786872028936,-1.84262559421273,52.2360616086809,0.393436014468172,-1.70818482604271,0,0,-41,-3,-57,0,0
-4.95327926676682,2.28405351108683,31.0894933111141,-1.82101337777171,52.2684799333424,0.44746655557073,-1.80543980002731,0,0,-41,-3,-57,0,0
-5.32877201175429,2.19302496684745,31.1008718791441,-1.79825624171186,52.3026156374322,0.504359395720347,-1.90784691229662,0,0,-41,-3,-57,0,0
-5.72241991069737,2.09759517316427,31.1128006033545,-1.77439879329107,52.3384018100634,0.564003016772329,-2.01520543019019,0,0,-41,-3,-57,0,0
-6.13348694384111,1.99794255906882,31.1252571801164,-1.74948563976721,52.3757715403492,0.626285900581987,-2.12731462104758,0,0,-41,-3,-57,0,0
-6.56123709143056,1.89424555359259,31.1382193058009,-1.72356138839815,52.4146579174028,0.69109652900463,-2.24397375220833,0,0,-41,-3,-57,0,0
-7.00493433371075,1.78668258576709,31.1516646767791,-1.69667064644177,52.4549940303373,0.758323383895569,-2.36498209101202,0,0,-41,-3,-57,0,0
-7.46384265092673,1.67543208462382,31.165570989422,-1.66885802115596,52.4967129682661,0.82785494711011,-2.4901389047982,0,0,-41,-3,-57,0,0
-7.93722602332354,1.56067247919429,31.1799159401007,-1.64016811979857,52.5397478203021,0.899579700503566,-2.61924346090642,0,0,-41,-3,-57,0,0
-8.42434843114622,1.44258219851001,31.1946772251863,-1.6106455496275,52.5840316755587,0.973386125931246,-2.75209502667624,0,0,-41,-3,-57,0,0
-8.92447385463982,1.32133967160247,31.2098325410497,-1.58033491790062,52.6294976231491,1.04916270524846,-2.88849286944722,0,0,-41,-3,-57,0,0
-9.43686627404938,1.19712332750318,31.2253595840621,-1.5492808318758,52.6760787521863,1.12679792031051,-3.02823625655892,0,0,-41,-3,-57,0,0
-9.96078966961992,1.07011159524365,31.2412360505945,-1.51752789881091,52.7237081517836,1.20618025297272,-3.17112445535089,0,0,-41,-3,-57,0,0
-10.4955080215965,0.940482903855388,31.2574396370181,-1.48512072596385,52.7723189110542,1.28719818509038,-3.31695673316269,0,0,-41,-3,-57,0,0
-11.0402853102242,0.808415682369888,31.2739480397038,-1.45210392059247,52.8218441191113,1.36974019851882,-3.46553235733388,0,0,-41,-3,-57,0,0
-11.594385515748,0.674088359818663,31.2907389550227,-1.41852208995467,52.872216865068,1.45369477511334,-3.616650595204,0,0,-41,-3,-57,0,0
-12.157072618413,0.537679365233212,31.3077900793458,-1.3844198413083,52.9233702380375,1.53895039672924,-3.77011071411264,0,0,-41,-3,-57,0,0
-12.7276105984642,0.399367127645043,31.3250791090444,-1.34984178191126,52.9752373271331,1.62539554522185,-3.92571198139933,0,0,-41,-3,-57,0,0
-13.3052634361466,0.259330076085663,31.3425837404893,-1.31483251902142,53.0277512214679,1.71291870244646,-4.08325366440363,0,0,-41,-3,-57,0,0
-13.8892951117054,0.117746639586572,31.3602816700517,-1.27943665989664,53.080845010155,1.80140835025839,-4.24253503046511,0,0,-41,-3,-57,0,0
-14.4789696053855,-0.0252047528207222,31.3781505941026,-1.24369881179482,53.1344517823078,1.89075297051295,-4.40335534692331,0,0,-41,-3,-57,0,0
-15.0735508974319,-0.169345672104714,31.3961682090131,-1.20766358197382,53.1885046270393,1.98084104506545,-4.5655138811178,0,0,-41,-3,-57,0,0
-15.6723029680898,-0.314497689233901,31.4143122111542,-1.17137557769152,53.2429366334627,2.07156105577119,-4.72880990038814,0,0,-41,-3,-57,0,0
-16.2744897976042,-0.460482375176778,31.4325602968971,-1.13487940620581,53.2976808906913,2.16280148448549,-4.89304267207388,0,0,-41,-3,-57,0,0
