7,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0,
7,4,31,-2,52,0,-1,33,0,-18,-2,-60,-2,-3,
7,4,31,-2,52,0,-1,61,-3,-58,-41,-32,-12,-17,
7,4,31,-2,52,0,-1,51,4,-49,-29,-34,-16,-16,
7,4,31,-2,52,0,-1,38,-17,-40,-29,-55,-3,-12,
7,4,31,-2,52,0,-1,76,-6,-69,-34,-102,-3,-14,
7,4,31,-2,52,0,-1,33,0,-18,-2,-60,-2,-3,
7,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0,
-33,-4,32,0,55,5,-10,0,0,-41,-3,-57,0,0,
-79,-17,55,29,116,-19,-7,0,0,-41,-3,-57,0,0,
-71,-17,59,23,122,-8,-10,0,0,-41,-3,-57,0,0,
-79,-17,55,29,116,-19,-7,0,0,-41,-3,-57,0,0,
-55,10,32,95,118,15,7,0,0,-41,-3,-57,0,0,
-55,10,32,95,118,15,7,33,0,-18,-2,-60,-2,-3,
-55,10,32,95,118,15,7,38,12,-43,-68,-65,-12,0,
-43,0,20,70,131,15,7,35,6,-7,-82,-104,-12,0,
-43,0,20,70,131,15,7,34,6,24,-73,-104,-12,0,
-33,-4,32,0,55,5,-10,33,0,-18,-2,-60,-2,-3,
7,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0,
