merged_cubic_angles_1,merged_cubic_angles_2,merged_cubic_angles_3,merged_cubic_angles_4,merged_cubic_angles_5,merged_cubic_angles_6,merged_cubic_angles_7,merged_cubic_angles_8,merged_cubic_angles_9,merged_cubic_angles_10,merged_cubic_angles_11,merged_cubic_angles_12,merged_cubic_angles_13,merged_cubic_angles_14
-36.5326086956522,18.5,30.9782608695652,53.1304347826087,99.9565217391304,7.55434782608696,-2.33695652173913,20.0217391304348,-2.04347826086956,-32.1086956521739,-48.9021739130435,-77.0652173913043,-2,-3
-36.5256211180124,18.3928571428571,30.9829192546584,52.888198757764,99.751552795031,7.54270186335404,-2.37189440993789,20.0170807453416,-2.03416149068323,-32.0854037267081,-48.8159937888199,-77.0512422360248,-2,-3
-36.5186335403727,18.2857142857143,30.9875776397516,52.6459627329192,99.5465838509317,7.53105590062112,-2.40683229813665,20.0124223602484,-2.02484472049689,-32.0621118012422,-48.7298136645963,-77.0372670807453,-2,-3
-36.5116459627329,18.1785714285714,30.9922360248447,52.4037267080745,99.3416149068323,7.5194099378882,-2.4417701863354,20.0077639751553,-2.01552795031056,-32.0388198757764,-48.6436335403727,-77.0232919254658,-2,-3
-36.5046583850932,18.0714285714286,30.9968944099379,52.1614906832298,99.1366459627329,7.50776397515528,-2.47670807453416,20.0031055900621,-2.00621118012422,-32.0155279503106,-48.5574534161491,-77.0093167701863,-2,-3
-36.4976708074534,17.9642857142857,31.0015527950311,51.9192546583851,98.9316770186335,7.49611801242236,-2.51164596273292,19.9984472049689,-1.99689440993789,-31.9922360248447,-48.4712732919255,-76.9953416149068,-2,-3
-36.4906832298137,17.8571428571429,31.0062111801242,51.6770186335404,98.7267080745341,7.48447204968944,-2.54658385093168,19.9937888198758,-1.98757763975155,-31.9689440993789,-48.3850931677019,-76.9813664596273,-2,-3
-36.4836956521739,17.75,31.0108695652174,51.4347826086956,98.5217391304348,7.47282608695652,-2.58152173913044,19.9891304347826,-1.97826086956522,-31.945652173913,-48.2989130434783,-76.9673913043478,-2,-3
-36.4767080745342,17.6428571428571,31.0155279503106,51.1925465838509,98.3167701863354,7.4611801242236,-2.61645962732919,19.9844720496894,-1.96894409937888,-31.9223602484472,-48.2127329192546,-76.9534161490683,-2,-3
-36.4697204968944,17.5357142857143,31.0201863354037,50.9503105590062,98.111801242236,7.44953416149068,-2.65139751552795,19.9798136645963,-1.95962732919255,-31.8990683229814,-48.1265527950311,-76.9394409937888,-2,-3
-36.4627329192547,17.4285714285714,31.0248447204969,50.7080745341615,97.9068322981366,7.43788819875776,-2.68633540372671,19.9751552795031,-1.95031055900621,-31.8757763975155,-48.0403726708074,-76.9254658385093,-2,-3
-36.4557453416149,17.3214285714286,31.0295031055901,50.4658385093167,97.7018633540372,7.42624223602484,-2.72127329192547,19.9704968944099,-1.94099378881987,-31.8524844720497,-47.9541925465838,-76.9114906832298,-2,-3
-36.4487577639752,17.2142857142857,31.0341614906832,50.223602484472,97.4968944099379,7.41459627329192,-2.75621118012423,19.9658385093168,-1.93167701863354,-31.8291925465838,-47.8680124223602,-76.8975155279503,-2,-3
-36.4417701863354,17.1071428571429,31.0388198757764,49.9813664596273,97.2919254658385,7.40295031055901,-2.79114906832298,19.9611801242236,-1.9223602484472,-31.805900621118,-47.7818322981366,-76.8835403726708,-2,-3
-36.4347826086957,17,31.0434782608696,49.7391304347826,97.0869565217391,7.39130434782609,-2.82608695652174,19.9565217391304,-1.91304347826087,-31.7826086956522,-47.695652173913,-76.8695652173913,-2,-3
-36.4277950310559,16.8928571428571,31.0481366459627,49.4968944099379,96.8819875776397,7.37965838509317,-2.8610248447205,19.9518633540373,-1.90372670807453,-31.7593167701863,-47.6094720496894,-76.8555900621118,-2,-3
-36.4208074534161,16.7857142857143,31.0527950310559,49.2546583850932,96.6770186335404,7.36801242236025,-2.89596273291925,19.9472049689441,-1.8944099378882,-31.7360248447205,-47.5232919254658,-76.8416149068323,-2,-3
