-6,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0
-6,4,31,-2,52,0,-1,33,0,-18,-2,-60,-2,-3
-6,4,31,-2,52,0,-1,50,-9,-49,-29,-23,-20,-14
-6,4,31,-2,52,0,-1,50,2,-49,-29,-23,-20,-14
-6,4,31,-2,52,0,-1,44,8,-47,-19,-20,-26,-17
-6,4,31,-2,52,0,-1,38,-17,-40,-29,-55,-3,-12
-6,4,31,-2,52,0,-1,73,-24,-73,-47,-91,1,-12
-6,4,31,-2,52,0,-1,73,-18,-73,-47,-91,1,-12
-6,4,31,-2,52,0,-1,73,-24,-73,-47,-91,1,-12
-6,4,31,-2,52,0,-1,33,0,-18,-2,-60,-2,-3
-6,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0
-39,-4,32,0,55,5,-10,0,0,-41,-3,-57,0,0
-89,10,34,50,144,-12,13,0,0,-41,-3,-57,0,0
-89,-19,34,50,144,-12,13,0,0,-41,-3,-57,0,0
-89,-19,47,37,144,-12,13,0,0,-41,-3,-57,0,0
-89,-19,34,50,144,-12,13,0,0,-41,-3,-57,0,0
-89,20,34,90,90,0,0,0,0,-41,-3,-57,0,0
-50,20,34,104,136,0,5,0,0,-41,-3,-57,0,0
-50,20,34,104,136,0,5,19,0,-27,-30,-74,-2,-3
-50,20,34,104,136,0,5,19,9,-27,-74,-74,-2,-3
-50,20,34,104,136,0,5,25,21,-37,-67,-80,-2,-3
-42,42,30,104,143,10,5,21,-4,-37,-67,-80,-2,-3
-39,-4,32,0,55,5,-10,19,0,-27,-30,-74,-2,-3
-6,4,31,-2,52,0,-1,0,0,-41,-3,-57,0,0
